Date;sta1;sta2;sta3;sta4;sta5
2008-01-13 18:00:00;56.7;87;67.4;104.1;
2008-01-13 19:00:00;78.5;255.3;107.2;105.3;
2008-01-13 20:00:00;96;389.5;158.2;144.8;
2008-01-13 21:00:00;101.2;368;241.5;125.7;
2008-01-13 22:00:00;266.2;334.6;199.1;203.1;
2008-01-13 23:00:00;;386.8;222.8;217.1;
2008-01-14 00:00:00;;251.2;166.3;203.7;
2008-01-14 01:00:00;;186.2;121.6;202.3;
2008-01-14 02:00:00;;97.6;75.6;159.6;
2008-01-14 03:00:00;;;125.4;168.9;
2008-01-14 04:00:00;422.1;11;59.9;191;
2008-01-14 05:00:00;371.3;32.7;48.2;86.9;
2008-01-14 06:00:00;391.1;;58.3;32.1;
2008-01-14 07:00:00;453.5;81.6;37.1;79.2;
2008-01-14 08:00:00;300.5;122.7;74.4;82.6;
2008-01-14 09:00:00;198.9;161.6;97.7;124.9;
2008-01-14 10:00:00;273;112.5;148.3;109.8;
2008-01-14 11:00:00;96;73.6;145;133.8;
2008-01-14 12:00:00;15;105;144;33;
2008-01-14 13:00:00;;30.9;87;37.4;56.9
2008-01-14 14:00:00;16.5;51.3;72.4;68;
2008-01-14 15:00:00;;84;75.8;46;
2008-01-14 16:00:00;18.8;96.8;69.3;106.4;52.1
2008-01-14 17:00:00;;66.1;74;102.8;130.9
2008-01-14 18:00:00;46.3;150.5;107.6;199.9;210.3
2008-01-14 19:00:00;109.9;433.1;138.6;285.8;297.3
2008-01-14 20:00:00;141.4;;211.5;213.9;288.2
2008-01-14 21:00:00;152.7;;233;218;299.5
2008-01-14 22:00:00;144.2;314.7;194.5;153;227.8
2008-01-14 23:00:00;140.8;179.7;216;112.7;182.6
2008-01-15 00:00:00;123.9;110.2;217.2;210.5;96.4
2008-01-15 01:00:00;134.9;88.7;215.2;148.6;170.6
2008-01-15 02:00:00;112.6;27.8;157.1;122.5;115.1
2008-01-15 03:00:00;115.4;43.8;82.6;88.6;109.8
2008-01-15 04:00:00;91.3;66.4;44.5;88.4;92.1
2008-01-15 05:00:00;66.5;46.4;;102.7;54.2
2008-01-15 06:00:00;88.9;21.2;28.8;74.2;78.4
2008-01-15 07:00:00;85.6;80.3;35.8;106.1;73.1
2008-01-15 08:00:00;53.4;92.6;43.7;78.7;199.9
2008-01-15 09:00:00;61.7;103.3;32.4;106.3;69.8
2008-01-15 10:00:00;32.1;113.6;105.3;102.1;67.4
2008-01-15 11:00:00;141;132.3;164.9;111.7;99.6
2008-01-15 12:00:00;169.8;115.8;154.2;88.7;79.3
2008-01-15 13:00:00;159.3;86.9;118.1;139.2;177.9
2008-01-15 14:00:00;163.6;175.6;134.7;62.2;178.4
2008-01-15 15:00:00;183.5;121.2;92.2;52.5;165.6
2008-01-15 16:00:00;100.7;84.3;96.5;81.7;115.3
2008-01-15 17:00:00;82.4;102.8;76;136;51
2008-01-15 18:00:00;123.4;112.8;137.7;124.7;69.3
2008-01-15 19:00:00;164;141;124.7;98.9;58.1
2008-01-15 20:00:00;168.1;113.4;86;97.5;62.4
2008-01-15 21:00:00;187.3;86.9;54.9;87.7;94.9
2008-01-15 22:00:00;170;90;61.1;98;
2008-01-15 23:00:00;150.2;73.8;67.3;70.2;66.4
2008-01-16 00:00:00;101;71.9;71.8;85.8;69.6
2008-01-16 01:00:00;72.3;34.9;75.5;72.5;65.7
2008-01-16 02:00:00;55.6;34.1;98.9;69.1;78.9
2008-01-16 03:00:00;48.7;180.8;77.7;45.5;91
2008-01-16 04:00:00;74.7;;63.6;;86.5
2008-01-16 05:00:00;67.8;;25.4;112.9;71.1
2008-01-16 06:00:00;118.5;39.4;51.8;154.8;69.5
2008-01-16 07:00:00;109.3;84.2;34.9;113.1;57.1
2008-01-16 08:00:00;70.1;56;43.5;112;77.5
